################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2459308490380475E-01 a       314     0    16     1    14
 -1.2434287607749196E-01 a       315     0    16     1    15
 -1.1324449272307008E-01 a       316     0    16     1    16
  3.8278374872000372E-02 a       317     0    16     1    17
 -6.6469304830803558E-02 a       318     0    16     1    18
 -2.4986244566763552E-01 a       319     0    16     1    19
 -2.5150604207056565E-01 a       320     0    16     1    20
 -1.2390986420159904E-01 a       321     0    17     1     1
 -5.9805792570367118E-02 a       322     0    17     1     2
 -3.2452294554706596E-01 a       323     0    17     1     3
 -9.0197205741303646E-02 a       324     0    17     1     4
  7.9890985375620782E-02 a       325     0    17     1     5
 -3.1777096607146554E-01 a       326     0    17     1     6
  6.3934276636003123E-02 a       327     0    17     1     7
  2.5665005856116108E-01 a       328     0    17     1     8
 -7.0298187371023335E-02 a       329     0    17     1     9
  2.0755598276971413E-01 a       330     0    17     1    10
 -2.3853430949524268E-01 a       331     0    17     1    11
 -1.6903215209468372E-01 a       332     0    17     1    12
 -1.7385976678815657E-01 a       333     0    17     1    13
  2.1621513186987773E-01 a       334     0    17     1    14
 -5.5345563764146732E-02 a       335     0    17     1    15
 -1.2270704922566506E-02 a       336     0    17     1    16
 -3.3767223459529531E-02 a       337     0    17     1    17
 -2.9644363709309351E-01 a       338     0    17     1    18
 -6.7349215132658624E-02 a       339     0    17     1    19
  2.8814257398897586E-01 a       340     0    17     1    20
  2.5599378429532482E-01 a       341     0    18     1     1
  5.8065836150090339E-02 a       342     0    18     1     2
  3.0013040053672790E-01 a       343     0    18     1     3
  2.6725378894837787E-01 a       344     0    18     1     4
 -2.9526128752269593E-01 a       345     0    18     1     5
  1.2132312670702813E-01 a       346     0    18     1     6
  9.6371879814671404E-03 a       347     0    18     1     7
 -9.4950926598397212E-02 a       348     0    18     1     8
  3.1067211778087599E-02 a       349     0    18     1     9
 -2.3329199289263719E-01 a       350     0    18     1    10
 -6.9255575900848756E-02 a       351     0    18     1    11
 -7.8445994902133304E-02 a       352     0    18     1    12
 -3.4708679750937797E-02 a       353     0    18     1    13
 -1.4742759336755631E-01 a       354     0    18     1    14
 -2.9347059080267757E-01 a       355     0    18     1    15
  2.7234648462288064E-01 a       356     0    18     1    16
  3.0767586622417579E-02 a       357     0    18     1    17
  2.7465084469773765E-01 a       358     0    18     1    18
  1.3511738581317770E-01 a       359     0    18     1    19
 -2.3107979519103763E-01 a       360     0    18     1    20
 -2.2776226595544813E-01 a       361     0    19     1     1
  5.2035440637982960E-02 a       362     0    19     1     2
 -1.7766609189987864E-01 a       363     0    19     1     3
  1.6807078368308700E-03 a       364     0    19     1     4
  9.0264799122047934E-02 a       365     0    19     1     5
 -1.7989252520847754E-01 a       366     0    19     1     6
 -3.5186329627701345E-02 a       367     0    19     1     7
  2.6452097825069698E-01 a       368     0    19     1     8
 -5.8723753808249644E-03 a       369     0    19     1     9
 -1.7277608421453799E-01 a       370     0    19     1    10
  1.6172045957822101E-01 a       371     0    19     1    11
  8.8973410929591448E-02 a       372     0    19     1    12
  1.7057112924956699E-01 a       373     0    19     1    13
  7.8882944682832953E-02 a       374     0    19     1    14
 -6.9804664334972927E-02 a       375     0    19     1    15
 -5.7382731050283055E-02 a       376     0    19     1    16
 -1.4127137095691150E-01 a       377     0    19     1    17
 -1.9156955451599880E-01 a       378     0    19     1    18
  1.1260601720372004E-01 a       379     0    19     1    19
  2.3101962956185837E-01 a       380     0    19     1    20
 -1.4947322847739594E-01 a       381     0    20     1     1
 -2.0513632378988847E-01 a       382     0    20     1     2
 -2.3965034653055259E-01 a       383     0    20     1     3
 -3.3381020477952661E-01 a       384     0    20     1     4
  3.2851490729659150E-01 a       385     0    20     1     5
  2.3669973903376665E-01 a       386     0    20     1     6
 -9.9621340769309813E-02 a       387     0    20     1     7
 -4.4244725284224717E-01 a       388     0    20     1     8
  1.6882694858839448E-01 a       389     0    20     1     9
  3.2286769361741929E-01 a       390     0    20     1    10
  9.7837427769197544E-02 a       391     0    20     1    11
  2.0034376677920784E-01 a       392     0    20     1    12
  6.1936942183428691E-02 a       393     0    20     1    13
  2.0214528666861242E-01 a       394     0    20     1    14
  2.9586763220779416E-01 a       395     0    20     1    15
 -4.7333896299552564E-01 a       396     0    20     1    16
  1.3179195762586249E-01 a       397     0    20     1    17
 -2.0450871910952384E-01 a       398     0    20     1    18
 -1.2549185448954944E-01 a       399     0    20     1    19
  1.7131074459678031E-01 a       400     0    20     1    20
 -2.6294733719482799E-01 a       401     0    21     1     1
  2.2695828200045209E-01 a       402     0    21     1     2
  2.6339590731031098E-01 a       403     0    21     1     3
 -8.1180440503561629E-02 a       404     0    21     1     4
 -1.3437083154727042E-01 a       405     0    21     1     5
 -2.7704245938617728E-01 a       406     0    21     1     6
  1.9096359158639731E-01 a       407     0    21     1     7
 -4.2805952571244482E-01 a       408     0    21     1     8
 -8.8690322347200631E-02 a       409     0    21     1     9
 -6.1000818371515786E-01 a       410     0    21     1    10
  4.2766232062619108E-01 a       411     0    21     1    11
 -2.6019033538097719E-01 a       412     0    21     1    12
  1.6603976120425379E-01 a       413     0    21     1    13
 -6.5423793438876929E-02 a       414     0    21     1    14
 -1.5914082153111989E-01 a       415     0    21     1    15
  2.4049975757950770E-01 a       416     0    21     1    16
  2.7152763160880311E-01 a       417     0    21     1    17
 -2.9604620812049651E-02 a       418     0    21     1    18
 -4.2224566054164769E-01 a       419     0    21     1    19
 -3.7461474779800975E-02 a       420     0    21     1    20
  3.5076904121969688E-01 a       421     0    22     1     1
 -1.9515958314259996E-01 a       422     0    22     1     2
  2.2543071017339550E-01 a       423     0    22     1     3
 -1.5330469745797354E-01 a       424     0    22     1     4
 -1.9755296008241122E-01 a       425     0    22     1     5
  3.5920723712558844E-01 a       426     0    22     1     6
  1.8287127888085372E-01 a       427     0    22     1     7
 -2.2019447947739543E-01 a       428     0    22     1     8
  3.0384837542627696E-01 a       429     0    22     1     9
 -7.2526323874590307E-02 a       430     0    22     1    10
  3.9297873091885815E-01 a       431     0    22     1    11
 -1.9028081586089086E-04 a       432     0    22     1    12
 -1.1010176857167456E-01 a       433     0    22     1    13
 -1.2704624152950381E-01 a       434     0    22     1    14
 -3.6199410884634370E-01 a       435     0    22     1    15
 -6.1522707914656229E-02 a       436     0    22     1    16
 -1.8282352411280842E-01 a       437     0    22     1    17
  3.6165595419973900E-01 a       438     0    22     1    18
  1.6276585027721552E-01 a       439     0    22     1    19
 -4.0076031692656683E-01 a       440     0    22     1    20
  4.3309182592170770E-01 a       441     0    23     1     1
 -6.0665104010785481E-02 a       442     0    23     1     2
  3.0681397545932720E-01 a       443     0    23     1     3
  1.5601787000342116E-01 a       444     0    23     1     4
 -2.1438755143256751E-02 a       445     0    23     1     5
  1.6613725902657370E-01 a       446     0    23     1     6
  1.9371399935978795E-02 a       447     0    23     1     7
  4.2751025599730513E-01 a       448     0    23     1     8
  1.8112135200397525E-01 a       449     0    23     1     9
 -2.4512258737311467E-02 a       450     0    23     1    10
 -4.4121078864977226E-01 a       451     0    23     1    11
 -6.0837854707910512E-02 a       452     0    23     1    12
 -7.9139348432300943E-02 a       453     0    23     1    13
 -9.4712616478786954E-02 a       454     0    23     1    14
  1.9876982256764600E-01 a       455     0    23     1    15
  1.4058129389927643E-01 a       456     0    23     1    16
 -3.4791415485995419E-01 a       457     0    23     1    17
  5.2820860324571409E-02 a       458     0    23     1    18
 -1.5417751107595784E-01 a       459     0    23     1    19
 -1.4285359017644145E-01 a       460     0    23     1    20
 -8.7694844168907743E-02 a       461     0    24     1     1
  3.5587877905237331E-01 a       462     0    24     1     2
  1.7717692557657466E-01 a       463     0    24     1     3
 -2.8907795103658745E-01 a       464     0    24     1     4
 -2.5194839609321638E-02 a       465     0    24     1     5
  9.1786985611349431E-02 a       466     0    24     1     6
 -5.1860787934765791E-02 a       467     0    24     1     7
 -4.1906332883741548E-01 a       468     0    24     1     8
 -2.4565070667212305E-01 a       469     0    24     1     9
  4.5540405246379201E-02 a       470     0    24     1    10
  4.3185055611046724E-01 a       471     0    24     1    11
 -1.0948927746364286E-01 a       472     0    24     1    12
 -2.0110472935707208E-01 a       473     0    24     1    13
 -2.0169365696596324E-02 a       474     0    24     1    14
 -2.7860438715078674E-03 a       475     0    24     1    15
 -6.9016045404402412E-02 a       476     0    24     1    16
  2.0404439737031899E-01 a       477     0    24     1    17
  3.7752705582856011E-01 a       478     0    24     1    18
  4.6420760569356528E-01 a       479     0    24     1    19
 -2.4473874984664074E-01 a       480     0    24     1    20
 -1.3914064601669787E-02 a       481     0    25     1     1
 -2.3386462262144150E-01 a       482     0    25     1     2
 -2.7795571113911072E-01 a       483     0    25     1     3
  2.6534551385933036E-01 a       484     0    25     1     4
  2.8267430490553208E-01 a       485     0    25     1     5
 -3.9691345672854828E-01 a       486     0    25     1     6
  8.9121880301915469E-03 a       487     0    25     1     7
  2.7562797700070446E-01 a       488     0    25     1     8
 -4.3351122444720731E-02 a       489     0    25     1     9
  1.0252896478466365E-01 a       490     0    25     1    10
 -1.0407657129727388E-01 a       491     0    25     1    11
 -9.8079396793013168E-02 a       492     0    25     1    12
  5.6189728441064991E-02 a       493     0    25     1    13
  1.7189106913502714E-01 a       494     0    25     1    14
  1.8356316089209165E-01 a       495     0    25     1    15
  2.0785762013833857E-02 a       496     0    25     1    16
 -1.8366440405370796E-01 a       497     0    25     1    17
 -3.9656358457705425E-03 a       498     0    25     1    18
 -1.4944485663650361E-01 a       499     0    25     1    19
  7.3298063357366869E-02 a       500     0    25     1    20
  2.1137389157429617E-01 a       501     0    26     1     1
 -1.3366624489904724E-01 a       502     0    26     1     2
 -1.3222137749062871E-01 a       503     0    26     1     3
 -5.6182300059005777E-02 a       504     0    26     1     4
 -4.8696551587580857E-02 a       505     0    26     1     5
 -3.6223616867668275E-04 a       506     0    26     1     6
 -6.8935521825183685E-02 a       507     0    26     1     7
 -3.4217692900843970E-02 a       508     0    26     1     8
  6.3178703381212217E-02 a       509     0    26     1     9
 -1.3196462960438635E-01 a       510     0    26     1    10
 -6.1948843500217537E-02 a       511     0    26     1    11
